State,First_vaccine_date,Full,Before,first_week,first_second_week,before_last_game,second_seven_week,second_second_week,After,RMSE
FIN,2021-01-10,-38.399315239619966,-18.78697435878163,-48.480126022118334,-51.214810168518774,-51.282428411631244,-44.10509141510702,-30.68937003994986,-25.39957836018758,242.939171006445
FJI,2021-03-24,106.01014167554943,34.42065017555059,62.72792648890337,100.68930810866767,246.52814901923927,256.84509895745833,316.493766364121,413.93939534214405,885.6334090171549
FRA,2021-01-03,-73.2048764744592,-66.1062705319569,-86.4407673695903,-79.74190085860847,-74.78064275972619,-71.43008655742635,-65.1113664571747,-57.62456891862831,12554.626533147613
FRO,2021-02-05,-31.68008492346388,-67.90616604378933,9.513797200677104,285.4255047012433,530.6218508869347,412.5783193749844,259.3647693639829,493.6922004834855,4.38500150621084
GAB,2021-03-29,-37.05752545650833,20.687708881701482,45.82763789144119,-79.18718312880586,-213.98334071110975,-134.2747503297793,-1.2679090588780344,-51.78016294305073,12.76633286188004
GBR,2021-01-17,-16.537555313036147,-18.16320812934395,8.904231661050101,-0.009812463400540268,-10.093050189034614,-22.276547319615712,-35.584689700225844,-39.584386927507545,8189.430790150147
GEO,2021-03-21,-86.1439450430794,-48.4448764481564,-75.86586593093408,-92.76272902247507,-98.91904860296384,-100.50613182052967,-99.62080365511515,-104.57056768945617,3166.8050766893753
GGY,2021-01-31,0.2552139862746226,2.9866469335870947,49.96042751420885,17.794729952566446,-0.489209210230741,-16.73874255711246,-7.120365107788985,-16.191554739899836,1.6077058421082195
GHA,2021-03-08,-36.039525522802926,-27.305392746833352,-3.1843780894771063,-56.012892492524735,-40.53958895226397,-42.616669605363384,-34.69889563480443,-26.980035265196562,197.45809195542142
GIB,2021-01-17,-51.55087318278927,-69.58610033415515,-69.67850590636971,-59.098254037732325,-41.45202829265385,-5.25538581795889,39.48410968050034,58.016852805079466,12.967390167929207
GIN,2021-04-07,-60.018716365767055,-38.463119055544695,-66.53823149801214,-73.15816281947824,-73.62557399023292,-66.01619151680651,-51.98542542396519,-43.19132841079589,71.33635176977302
GMB,2021-03-16,-68.40103856265728,-73.42801427228761,-81.58125490304504,-76.64976432780162,-69.13376109464552,-51.901110032803075,-9.370051134668648,-6.779344097471982,53.575955926225866
GNB,2021-05-19,-28.49764718188107,-23.980794225004455,-51.76781550640401,-36.66388253973154,-35.89343057417923,-31.93300067648348,-7.098381429619134,24.251269277568728,13.022928838217128
GNQ,2021-03-23,59.833345016436446,176.5823933575724,190.99439374445575,171.23451471795386,219.2339287051882,39.89061526550534,-26.45083286189039,-47.07933363801273,10.739497290996528
GRC,2021-01-04,-70.68296601792078,-63.20397350875595,-70.14658584220899,-71.9512968067264,-74.02306422349918,-76.72195293617843,-75.90382403556559,-74.6503561716952,1948.6890168515035
GRD,2021-03-04,-97.14552707406429,-88.03607665360724,-88.54174753092343,-90.99049044049127,-95.19783752511127,-92.031867990305,-96.97854820887761,,4.540109490359778
