State,Full,Before,During,After
TCA,-95.31887127877141,-90.67214338078423,-90.94707683101622,-96.77208319976278
TCD,-343.0545533797733,-319.6068249026559,-374.1501798083091,-348.7211347679201
TGO,-62.59860769835791,-7.415720672300215,-38.31399554048524,-73.20451786026659
THA,-28.051062599195177,-13.916255808748817,-28.394158822342174,-32.98147956787606
TJK,25.230292517300327,-12.346156422757927,-36.383572691566904,59.50022961394892
TLS,-49.529955183526496,1.5129346676419475,61.49838536529161,-65.45028600635258
TTO,-49.989494317206706,-21.725383753699564,-60.4019767252898,-58.214230502728896
TUN,83.51941924039296,-0.7696262251527104,93.65076546230652,201.55080037871102
TUR,-12.680868832139709,2.037074071486997,0.38334690460663223,-17.171366053167596
UGA,22.979955336488175,67.0408186016677,183.22467258819552,-17.479287756903656
UKR,-44.95590364917213,-10.503993767371961,-20.28515491248156,-59.263818579046465
URY,291.0245792887057,72.12454768940509,285.31961220924745,744.0298078370722
USA,-82.49677490636994,-62.8824019068385,-71.70002073375824,-87.19746873342957
UZB,-6.411509652541178,6.779416241983899,-5.122937323231711,-11.383582050024751
VCT,37.203538186373294,83.6720150827126,118.73081679232165,16.85256762118606
VEN,3.9008114210957623,1.373341762281631,3.5949535453703376,6.800839652658099
VGB,274.224937644488,11.68600459492142,133.08081666813234,5382.534359271884
VNM,-76.6397433012923,-48.69411932106113,-73.3416567313208,-81.09664368613606
YEM,-72.97573900121925,-23.540374020578525,-16.42670465835545,-82.41793443447793
ZAF,132.7537718271815,28.545402095305917,114.84040508040785,203.6245887787643
ZMB,-42.816048539225946,-5.778321185639724,-38.47102831888693,-102.74396150889125
ZWE,-8.968097297040938,-39.544304154714524,-39.86084022855753,103.93853216440631
